Date,Open,High,Low,Close,Adj Close,Volume
2023-04-28,446.000000,454.000000,446.000000,450.000000,428.661072,62644400
2023-05-02,450.000000,452.000000,442.000000,444.000000,422.945587,55180700
2023-05-03,444.000000,456.000000,444.000000,450.000000,428.661072,77251500
2023-05-04,450.000000,466.000000,448.000000,464.000000,441.997192,112211500
2023-05-05,464.000000,478.000000,464.000000,472.000000,449.617828,173064300
2023-05-08,476.000000,525.000000,476.000000,510.000000,485.815887,345608600
2023-05-09,520.000000,560.000000,515.000000,555.000000,528.682007,318344300
2023-05-10,560.000000,560.000000,535.000000,550.000000,523.919067,156589400
2023-05-11,550.000000,550.000000,525.000000,540.000000,514.393311,102214900
2023-05-12,540.000000,550.000000,530.000000,535.000000,509.630371,84064100
2023-05-15,535.000000,565.000000,535.000000,565.000000,538.207764,162703800
2023-05-16,570.000000,575.000000,545.000000,570.000000,542.970703,180469700
2023-05-17,570.000000,600.000000,560.000000,595.000000,566.785217,249166700
2023-05-19,595.000000,615.000000,575.000000,585.000000,557.259399,211084200
2023-05-22,585.000000,635.000000,580.000000,630.000000,600.125488,242856800
2023-05-23,630.000000,645.000000,595.000000,605.000000,576.310974,218579700
2023-05-24,605.000000,625.000000,600.000000,615.000000,585.836792,110144700
2023-05-25,620.000000,635.000000,615.000000,635.000000,604.888428,103170200
2023-05-26,640.000000,655.000000,635.000000,655.000000,623.940002,127412100
2023-05-29,660.000000,660.000000,615.000000,630.000000,600.125488,117896900
2023-05-30,635.000000,635.000000,615.000000,620.000000,590.599670,61548000
2023-05-31,625.000000,640.000000,600.000000,630.000000,600.125488,160231200
2023-06-05,630.000000,635.000000,610.000000,630.000000,600.125488,79917600
2023-06-06,630.000000,645.000000,620.000000,645.000000,614.414185,61999000
2023-06-07,645.000000,705.000000,640.000000,700.000000,666.806091,326398900
2023-06-08,700.000000,710.000000,665.000000,680.000000,647.754517,159416000
2023-06-09,680.000000,695.000000,670.000000,685.000000,652.517395,74205000
2023-06-12,685.000000,705.000000,675.000000,680.000000,647.754517,108995000
2023-06-13,680.000000,685.000000,630.000000,645.000000,614.414185,165760000
2023-06-14,645.000000,685.000000,635.000000,685.000000,652.517395,134394700
2023-06-15,690.000000,700.000000,660.000000,660.000000,628.702881,113494400
2023-06-16,665.000000,670.000000,645.000000,650.000000,619.177124,60694200
2023-06-19,650.000000,660.000000,630.000000,635.000000,604.888428,65909100
2023-06-20,635.000000,645.000000,605.000000,605.000000,576.310974,141525800
2023-06-21,610.000000,700.000000,610.000000,690.000000,657.280334,260715400
2023-06-22,690.000000,690.000000,660.000000,670.000000,638.228699,124841200
2023-06-23,670.000000,680.000000,660.000000,670.000000,638.228699,44883900
2023-06-26,670.000000,690.000000,670.000000,680.000000,647.754517,43699500
2023-06-27,680.000000,685.000000,670.000000,675.000000,642.991577,40355900
2023-07-03,675.000000,690.000000,670.000000,670.000000,638.228699,39246900
2023-07-04,670.000000,685.000000,640.000000,655.000000,623.940002,203445100
2023-07-05,635.000000,650.000000,625.000000,640.000000,640.000000,115440700
2023-07-06,645.000000,665.000000,635.000000,655.000000,655.000000,72533600
2023-07-07,655.000000,745.000000,640.000000,720.000000,720.000000,391956300
2023-07-10,725.000000,735.000000,705.000000,710.000000,710.000000,120543400
2023-07-11,710.000000,725.000000,705.000000,710.000000,710.000000,61117100
2023-07-12,715.000000,735.000000,715.000000,725.000000,725.000000,81531800
2023-07-13,730.000000,730.000000,700.000000,715.000000,715.000000,81930300
2023-07-14,715.000000,730.000000,710.000000,720.000000,720.000000,63508300
2023-07-17,720.000000,765.000000,720.000000,755.000000,755.000000,172961100
2023-07-18,760.000000,780.000000,735.000000,750.000000,750.000000,122905500
2023-07-20,750.000000,795.000000,695.000000,695.000000,695.000000,440614000
2023-07-21,695.000000,715.000000,690.000000,705.000000,705.000000,113786000
2023-07-24,710.000000,745.000000,710.000000,735.000000,735.000000,169022100
2023-07-25,745.000000,780.000000,730.000000,750.000000,750.000000,155796800
2023-07-26,755.000000,765.000000,735.000000,740.000000,740.000000,65814100
2023-07-27,745.000000,755.000000,735.000000,755.000000,755.000000,50466700
2023-07-28,760.000000,765.000000,735.000000,735.000000,735.000000,47513400
2023-07-31,735.000000,745.000000,715.000000,720.000000,720.000000,47600800
2023-08-01,715.000000,730.000000,675.000000,675.000000,675.000000,141287700
2023-08-02,675.000000,700.000000,655.000000,665.000000,665.000000,104571800
2023-08-03,670.000000,695.000000,670.000000,690.000000,690.000000,64866100
2023-08-04,695.000000,700.000000,680.000000,680.000000,680.000000,37028700
2023-08-07,690.000000,735.000000,690.000000,730.000000,730.000000,142941400
2023-08-08,730.000000,740.000000,715.000000,720.000000,720.000000,43229300
2023-08-09,720.000000,725.000000,705.000000,715.000000,715.000000,28945100
2023-08-10,715.000000,720.000000,690.000000,700.000000,700.000000,43730400
2023-08-11,700.000000,700.000000,685.000000,700.000000,700.000000,28598300
2023-08-14,700.000000,700.000000,690.000000,690.000000,690.000000,31750700
2023-08-15,695.000000,730.000000,690.000000,720.000000,720.000000,131581600
2023-08-16,720.000000,730.000000,710.000000,715.000000,715.000000,39728800
2023-08-18,715.000000,730.000000,710.000000,710.000000,710.000000,37310100
2023-08-21,710.000000,745.000000,710.000000,730.000000,730.000000,134380600
2023-08-22,750.000000,765.000000,735.000000,750.000000,750.000000,110012600
2023-08-23,750.000000,760.000000,730.000000,755.000000,755.000000,85561000
2023-08-24,760.000000,770.000000,755.000000,760.000000,760.000000,82880000
2023-08-25,765.000000,765.000000,745.000000,750.000000,750.000000,29642300
2023-08-28,755.000000,775.000000,750.000000,760.000000,760.000000,55072900
2023-08-29,765.000000,770.000000,750.000000,755.000000,755.000000,30717000
2023-08-30,760.000000,765.000000,750.000000,755.000000,755.000000,30297400
2023-08-31,755.000000,755.000000,730.000000,730.000000,730.000000,33063900
2023-09-01,730.000000,740.000000,710.000000,740.000000,740.000000,39706700
2023-09-04,740.000000,750.000000,730.000000,740.000000,740.000000,19539000
2023-09-05,740.000000,740.000000,730.000000,730.000000,730.000000,15424900
2023-09-06,730.000000,750.000000,715.000000,725.000000,725.000000,54394400
2023-09-07,725.000000,735.000000,720.000000,720.000000,720.000000,32218400
2023-09-08,725.000000,730.000000,715.000000,720.000000,720.000000,24513100
2023-09-11,730.000000,755.000000,720.000000,755.000000,755.000000,79187900
2023-09-12,760.000000,760.000000,735.000000,750.000000,750.000000,48718600
2023-09-13,750.000000,760.000000,745.000000,745.000000,745.000000,27425000
2023-09-14,745.000000,750.000000,735.000000,735.000000,735.000000,19199900
2023-09-15,735.000000,745.000000,725.000000,730.000000,730.000000,32753000
2023-09-18,735.000000,795.000000,730.000000,795.000000,795.000000,238486600
2023-09-19,800.000000,815.000000,775.000000,775.000000,775.000000,126299900
2023-09-20,775.000000,810.000000,770.000000,790.000000,790.000000,70075600
2023-09-21,800.000000,810.000000,780.000000,800.000000,800.000000,61876000
2023-09-22,795.000000,800.000000,785.000000,790.000000,790.000000,32781100
2023-09-25,795.000000,800.000000,780.000000,790.000000,790.000000,20716500
2023-09-26,790.000000,795.000000,730.000000,760.000000,760.000000,85090100
2023-09-27,760.000000,765.000000,745.000000,755.000000,755.000000,27341300
2023-09-29,755.000000,765.000000,745.000000,750.000000,750.000000,36860400
2023-10-02,755.000000,790.000000,755.000000,785.000000,785.000000,49641000
2023-10-03,785.000000,785.000000,770.000000,775.000000,775.000000,49471500
2023-10-04,775.000000,775.000000,750.000000,750.000000,750.000000,64769400
2023-10-05,750.000000,780.000000,745.000000,760.000000,760.000000,50096900
2023-10-06,760.000000,770.000000,755.000000,765.000000,765.000000,29260900
2023-10-09,765.000000,770.000000,760.000000,765.000000,765.000000,34394700
2023-10-10,770.000000,790.000000,770.000000,780.000000,780.000000,56344600
2023-10-11,785.000000,790.000000,775.000000,780.000000,780.000000,23020300
2023-10-12,780.000000,810.000000,780.000000,805.000000,805.000000,111275300
2023-10-13,805.000000,830.000000,785.000000,785.000000,785.000000,118986200
2023-10-16,785.000000,810.000000,775.000000,805.000000,805.000000,60513700
2023-10-17,805.000000,815.000000,785.000000,800.000000,800.000000,57248500
2023-10-18,800.000000,805.000000,785.000000,800.000000,800.000000,40722700
2023-10-19,800.000000,810.000000,765.000000,790.000000,790.000000,90301200
2023-10-20,790.000000,805.000000,780.000000,795.000000,795.000000,27787000
2023-10-23,810.000000,845.000000,805.000000,825.000000,825.000000,135707400
2023-10-24,825.000000,865.000000,815.000000,855.000000,855.000000,128365100
2023-10-25,855.000000,890.000000,855.000000,875.000000,875.000000,77078700
2023-10-26,875.000000,880.000000,825.000000,870.000000,870.000000,101238000
2023-10-27,870.000000,875.000000,840.000000,845.000000,845.000000,61776900
2023-10-30,845.000000,860.000000,795.000000,830.000000,830.000000,88326300
2023-10-31,830.000000,835.000000,785.000000,800.000000,800.000000,87039000
2023-11-01,810.000000,820.000000,780.000000,795.000000,795.000000,63614500
2023-11-02,805.000000,820.000000,795.000000,795.000000,795.000000,47778400
2023-11-03,800.000000,825.000000,795.000000,820.000000,820.000000,64340600
2023-11-06,830.000000,870.000000,820.000000,860.000000,860.000000,84648200
2023-11-07,860.000000,860.000000,825.000000,830.000000,830.000000,44033600
2023-11-08,840.000000,845.000000,820.000000,830.000000,830.000000,17589300
2023-11-09,830.000000,840.000000,820.000000,825.000000,825.000000,27253100
2023-11-10,820.000000,830.000000,800.000000,805.000000,805.000000,34732100
2023-11-13,815.000000,830.000000,810.000000,825.000000,825.000000,23029300
2023-11-14,830.000000,840.000000,810.000000,810.000000,810.000000,31827700
2023-11-15,825.000000,835.000000,820.000000,835.000000,835.000000,25278600
2023-11-16,840.000000,840.000000,820.000000,830.000000,830.000000,19018000
2023-11-17,830.000000,830.000000,815.000000,815.000000,815.000000,14795500
2023-11-20,820.000000,835.000000,815.000000,830.000000,830.000000,14126500
2023-11-21,830.000000,855.000000,820.000000,820.000000,820.000000,48999900
2023-11-22,825.000000,830.000000,815.000000,815.000000,815.000000,19168500
2023-11-23,820.000000,825.000000,805.000000,810.000000,810.000000,20169800
2023-11-24,815.000000,820.000000,760.000000,815.000000,815.000000,87280100
2023-11-27,815.000000,815.000000,795.000000,800.000000,800.000000,23316200
2023-11-28,805.000000,810.000000,770.000000,775.000000,775.000000,76611500
2023-11-29,780.000000,785.000000,750.000000,770.000000,770.000000,87411600
2023-11-30,770.000000,775.000000,740.000000,755.000000,755.000000,88331200
2023-12-01,760.000000,760.000000,730.000000,735.000000,735.000000,96439300
2023-12-04,730.000000,750.000000,720.000000,720.000000,720.000000,71936500
2023-12-05,720.000000,730.000000,690.000000,710.000000,710.000000,175242100
2023-12-06,715.000000,730.000000,705.000000,730.000000,730.000000,76802300
2023-12-07,730.000000,730.000000,670.000000,695.000000,695.000000,203431800
2023-12-08,695.000000,710.000000,690.000000,695.000000,695.000000,56855200
2023-12-11,700.000000,700.000000,685.000000,690.000000,690.000000,30369200
